source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84961275720,10.1016/j.jns.2016.02.012,2016,,Lebrun-Frenay C.
SCOPUS_ID:84961635283,10.1111/cea.12723,2016,,Verhasselt V.|Tulic M.K.|Piche T.
SCOPUS_ID:84961744704,10.1007/978-3-662-49665-7_5,2016,,Henrio L.|Kulankhina O.|Madelaine E.
SCOPUS_ID:84961820483,10.1038/mi.2015.114,2016,,Rekima A.|Turfkruyer M.|Le Bourhis L.|Verhasselt V.|Tulic M.K.
SCOPUS_ID:84961821147,10.1038/mi.2016.3,2016,,Turfkruyer M.|Verhasselt V.
SCOPUS_ID:84962040424,10.5978/islsm.16-OR-02,2016,,Brulat-Bouchard N.|Fornaini C.|Muhammad O.H.|Gamal A.E.|Medioni E.|Rocca J.P.
SCOPUS_ID:84962204016,10.1289/ehp.1510927,2016,,Paul-Bellon R.|Fénichel P.|Chevalier N.
SCOPUS_ID:84962303728,10.1002/jcd.21506,2016,,Bermond J.C.
SCOPUS_ID:84962431693,10.1051/medsci/20163203010,2016,,Julia V.
SCOPUS_ID:84962506298,10.1530/EJE-15-1099,2016,,Benisvy D.
SCOPUS_ID:84962744592,10.1126/scitranslmed.aaf1471,2016,,Jeandel P.Y.
SCOPUS_ID:84962844780,10.1016/j.ctrv.2015.12.007,2016,,Doyen J.|Floquet V.|Falk A.T.|Hannoun-Lévi J.M.|Hérault J.
SCOPUS_ID:84963706967,10.1016/j.rhum.2016.02.012,2016,,Breuil V.
SCOPUS_ID:84963716250,10.3917/i2d.161.0034,2016,,Attour A.
SCOPUS_ID:84963734883,10.1016/j.ijrobp.2015.10.061,2016,,Gerard J.P.
SCOPUS_ID:84963795098,10.1080/15284336.2015.1135553,2016,,Naqvi A.|Garraffo R.
SCOPUS_ID:84963801158,10.1097/CCM.0000000000001580,2016,,Contenti J.|Levraut J.
SCOPUS_ID:84963815713,10.1111/dar.12398,2017,,Rosenthal E.
SCOPUS_ID:84963830892,10.1093/mnras/stv2942,2016,,Lagadec E.
SCOPUS_ID:84963860950,10.1016/j.jcp.2016.04.020,2016,,Scheid C.
